,fd,fs,pmp
511,0.25,0.06,0.5635130279393196
512,0.25,0.07,0.4601351792874257
513,0.25,0.08,0.3530221881006202
514,0.25,0.09,0.3164912525397169
515,0.25,0.1,0.3163170929906207
516,0.25,0.11,0.3161145227846175
517,0.25,0.12,0.31587248292504594
518,0.25,0.13,0.3155717412485604
519,0.25,0.14,0.31517453679793894
520,0.25,0.15,0.3145877171028908
521,0.25,0.16,0.3134429407795233
522,0.25,0.17,0.30853341194706707
523,0.25,0.18,0.3083679167684793
524,0.25,0.19,0.30817692652335654
525,0.25,0.2,0.3079510913325063
526,0.25,0.21,0.30767472377506505
527,0.25,0.22,0.30731850939169714
528,0.25,0.23,0.30681690519723337
529,0.25,0.24,0.3059617666971876
530,0.25,0.25,0.30138873478792
531,0.25,0.26,0.30123129942540783
532,0.25,0.27,0.301050672124077
533,0.25,0.28,0.3008390745753568
534,0.25,0.29,0.3005835148780664
535,0.25,0.3,0.3002610064952262
536,0.25,0.31,0.2998231762716779
537,0.25,0.32,0.2991391807533502
538,0.25,0.33,0.29748344348725897
539,0.25,0.34,0.29461178716336006
540,0.25,0.35000000000000003,0.29444065805918357
541,0.25,0.36,0.29424168909125525
542,0.25,0.37,0.294005421621688
543,0.25,0.38,0.29371289436270154
544,0.25,0.39,0.2933277578276728
545,0.25,0.4,0.2927630762278411
546,0.25,0.41000000000000003,0.29168548633041735
547,0.25,0.42,0.28840916639809805
548,0.25,0.43,0.288247390664346
549,0.25,0.44,0.2880608941802842
550,0.25,0.45,0.28784063535651894
551,0.25,0.46,0.2875715542626094
552,0.25,0.47000000000000003,0.2872258508954288
553,0.25,0.48,0.2867416353821508
554,0.25,0.49,0.28592729256747446
555,0.25,0.5,0.28249883241085244
556,0.25,0.51,0.2823448688896124
557,0.25,0.52,0.2821684387397982
558,0.25,0.53,0.28196201074852006
559,0.25,0.54,0.28171313483250676
560,0.25,0.55,0.28139962911399957
561,0.25,0.56,0.28097611454429255
562,0.25,0.5700000000000001,0.28032046423079565
563,0.25,0.58,0.2787987591382094
564,0.25,0.59,0.27668611535218246
565,0.25,0.6,0.276518864940563
566,0.25,0.61,0.27632470248964774
567,0.25,0.62,0.2760932124091511
568,0.25,0.63,0.2758067176559496
569,0.25,0.64,0.2754305967871447
570,0.25,0.65,0.2748818415094112
